langue,système,ensemble,éléments,mathématiques,connaissances,notion,connaissance,philosophie,,,,,,,,,,
Philosophie,grec ancien,langue grecque,langue,système,ensemble,éléments,mathématiques,connaissances,notion,connaissance,philosophie,,,,,,,
Dialectes,Latin,langue italique,famille,langues,système,ensemble,éléments,mathématiques,connaissances,notion,connaissance,philosophie,,,,,,
Ouvert,participe passé,grammaire,langue,système,ensemble,éléments,mathématiques,connaissances,notion,connaissance,philosophie,,,,,,,
fermé,mathématiques,connaissances,notion,connaissance,philosophie,,,,,,,,,,,,,
omnis,concept,proposition,philosophie,,,,,,,,,,,,,,,
relation,album,CD,disque optique,informatique,scientifique,sciences de la nature,monde,matière,corps,physique,connaissance,philosophie,,,,,,
notion,connaissance,philosophie,,,,,,,,,,,,,,,,
sagesse,grec ancien,langue grecque,langue,système,ensemble,éléments,mathématiques,connaissances,notion,connaissance,philosophie,,,,,,,
concept,proposition,philosophie,,,,,,,,,,,,,,,,
Antiquité,époque,historiens,histoire,passés,concept,proposition,philosophie,,,,,,,,,,,
arcadochypriote,dialecte,Antiquité,époque,historiens,histoire,passés,concept,proposition,philosophie,,,,,,,,,
signes linguistiques,langage,vocaux,sons,vibration,oscillation,mouvement,mécanique,grec ancien,langue grecque,langue,système,ensemble,éléments,mathématiques,connaissances,notion,connaissance,philosophie
nombres,concept,proposition,philosophie,,,,,,,,,,,,,,,
formes,nom commun,grammaire,langue,système,ensemble,éléments,mathématiques,connaissances,notion,connaissance,philosophie,,,,,,,
graphiques,Adjectif,grammaire,langue,système,ensemble,éléments,mathématiques,connaissances,notion,connaissance,philosophie,,,,,,,
théorie des ensembles,mathématiques,connaissances,notion,connaissance,philosophie,,,,,,,,,,,,,
appartenance,relation d'appartenance,mathématiques,connaissances,notion,connaissance,philosophie,,,,,,,,,,,,
sens,nom commun,grammaire,langue,système,ensemble,éléments,mathématiques,connaissances,notion,connaissance,philosophie,,,,,,,
raisonnements,processus,latin,langue italique,famille,langues,système,ensemble,éléments,mathématiques,connaissances,notion,connaissance,philosophie,,,,,
gestuels,langue,système,ensemble,éléments,mathématiques,connaissances,notion,connaissance,philosophie,,,,,,,,,
axiomatique,Axiome,grec ancien,langue grecque,langue,système,ensemble,éléments,mathématiques,connaissances,notion,connaissance,philosophie,,,,,,
symétrique,Symétrie,automorphisme,isomorphisme,mathématiques,,,,,,,,,,,,,,
empiriques,philosophiques,grec ancien,langue grecque,langue,système,ensemble,éléments,mathématiques,connaissances,notion,connaissance,philosophie,,,,,,